Area,Item,Element,Year,Unit,Value
Viet Nam,Oilseed Cake Meal,Export Quantity,1988,tonnes,0.0
Malaysia,Asparagus,Import Value,2003,1000 US$,148.0
Rwanda,"Beans, dry",Import Quantity,1986,tonnes,1444.0
Mauritius,"Starch, cassava",Import Quantity,1965,tonnes,0.0
Uganda,"Meat, duck",Import Value,1982,1000 US$,
Ghana,Garlic,Export Value,2012,1000 US$,3.0
Syrian Arab Republic,"Tangerines, mandarins, clementines, satsumas",Export Value,2001,1000 US$,8178.0
Sweden,Tobacco,Export Quantity,1970,tonnes,1211.0
Brunei Darussalam,"Wool, greasy",Import Quantity,2005,tonnes,0.0
Sri Lanka,"Meat, dried nes",Import Value,2001,1000 US$,28.0
Jamaica,Cottonseed,Import Value,1976,1000 US$,
Polynesia,Oranges+Tang+Clem,Import Quantity,1974,tonnes,614.0
Turkey,"Flour, roots and tubers nes",Export Quantity,1984,tonnes,0.0
Belize,Meat of Swine,Export Quantity,1967,tonnes,0.0
Poland,Currants,Import Quantity,1968,tonnes,
Saudi Arabia,Plums dried (prunes),Export Value,1993,1000 US$,0.0
Serbia,"Walnuts, with shell",Import Value,2007,1000 US$,
Guatemala,"Nuts, prepared (exc. groundnuts)",Export Value,2004,1000 US$,0.0
Australia,"Eggs, hen, in shell",Import Value,2011,1000 US$,2289.0
Zimbabwe,"Cake, soybeans",Import Value,1988,1000 US$,0.0
Tajikistan,Chocolate products nes,Import Quantity,1993,tonnes,80.0
Jamaica,Avocados,Export Quantity,1976,tonnes,0.0
Maldives,"Groundnuts, shelled",Import Quantity,1963,tonnes,
Nigeria,Cloves,Import Quantity,1992,tonnes,249.0
Ghana,"Juice, grapefruit, concentrated",Export Quantity,2009,tonnes,1.0
Rwanda,"Milk, whole fresh cow",Import Quantity,1995,tonnes,100.0
Austria,Infant food,Export Value,2010,1000 US$,38189.0
Ireland,Coconuts,Export Value,1997,1000 US$,0.0
China,"Cake, sunflower",Export Value,1989,1000 US$,12687.0
Seychelles,"Tobacco, unmanufactured",Export Value,1980,1000 US$,
Turkey,"Feed and meal, gluten",Import Value,1962,1000 US$,0.0
Venezuela (Bolivarian Republic of),"Walnuts, with shell",Export Value,2004,1000 US$,0.0
Dominica,Animal fats,Import Value,2007,1000 US$,3076.0
Oman,"Bran, wheat",Export Value,1987,1000 US$,0.0
Greece,"Meat, pig sausages",Export Quantity,1969,tonnes,5.0
Niger,Chocolate products nes,Import Value,1977,1000 US$,90.0
Jordan,Rice - total  (Rice milled equivalent),Import Value,2004,1000 US$,61199.0
Afghanistan,Cream fresh,Import Value,1994,1000 US$,
Myanmar,"Cake, cottonseed",Export Quantity,1994,tonnes,1500.0
Ghana,Malt,Import Quantity,2011,tonnes,21929.0
Zimbabwe,Cheese and Curd,Import Value,1989,1000 US$,0.0
Bahamas,"Oil, olive, virgin",Export Value,1988,1000 US$,
Egypt,"Milk, products of natural constituents nes",Export Value,2006,1000 US$,72.0
Mexico,Cereals,Import Value,2006,1000 US$,2442926.0
Qatar,Copra,Export Value,1966,1000 US$,
Cyprus,Flax fibre raw,Import Value,1981,1000 US$,0.0
Philippines,Grapes,Import Quantity,1970,tonnes,1046.0
Thailand,"Cake, palm kernel",Import Value,1979,1000 US$,0.0
Australia,Sugar Raw Centrifugal,Export Quantity,1986,tonnes,2740983.0
Kazakhstan,Sorghum,Import Quantity,2011,tonnes,0.0
Mauritania,"Skins, sheep, with wool",Export Value,2000,1000 US$,
Tuvalu,"Milk, whole evaporated",Import Value,2009,1000 US$,3.0
Hungary,"Oil, sesame",Export Quantity,1989,tonnes,
Guinea-Bissau,"Spices, nes",Import Quantity,1979,tonnes,1.0
Republic of Korea,Onions,Export Quantity,1998,tonnes,6023.0
Senegal,"Tomatoes, paste",Import Value,2012,1000 US$,8127.0
United Republic of Tanzania,Flax tow waste,Export Value,1995,1000 US$,
France,Cereals,Import Quantity,1982,tonnes,2482045.0
Faroe Islands,"Meat, sheep",Import Value,1985,1000 US$,1084.0
Hungary,"Cheese, whole cow milk",Export Quantity,2009,tonnes,11101.0
Qatar,Wheat,Import Value,1968,1000 US$,140.0
Burundi,"Offals, edible, cattle",Import Quantity,1986,tonnes,
Paraguay,"Meat, duck",Import Value,1999,1000 US$,0.0
Ecuador,"Flour, wheat",Import Quantity,1989,tonnes,1800.0
Japan,Mushrooms and truffles,Export Quantity,1978,tonnes,0.0
United Arab Emirates,"Beans, dry",Import Quantity,1961,tonnes,
Yemen,Avocados,Export Quantity,1962,tonnes,
Benin,"Juice, pineapple, concentrated",Export Value,1985,1000 US$,
Zimbabwe,Cucumbers and gherkins,Import Value,1998,1000 US$,1.0
Costa Rica,Rice,Import Quantity,1970,tonnes,6228.0
Niger,"Milk, skimmed dried",Export Quantity,1995,tonnes,74.0
Togo,"Flour, potatoes",Import Quantity,1989,tonnes,142.0
Canada,"Juice, pineapple, concentrated",Import Quantity,1965,tonnes,0.0
Iran (Islamic Republic of),"Hazelnuts, shelled",Import Quantity,2002,tonnes,29.0
Slovakia,Waxes vegetable,Import Value,2002,1000 US$,13.0
France,"Offals, liver duck",Import Value,1990,1000 US$,0.0
Kenya,Fixed Vegetable Oils,Import Quantity,2001,tonnes,382066.0
Aruba,"Skins, sheep, dry salted",Import Quantity,1996,tonnes,
Cambodia,Lard,Import Value,1976,1000 US$,0.0
Malawi,Beet pulp,Import Quantity,1982,tonnes,
Lebanon,"Oil, palm",Import Quantity,1966,tonnes,107.0
Bhutan,Apricots,Import Value,2005,1000 US$,
China,"Cake, linseed",Export Value,2008,1000 US$,287.0
Gambia,Poppy seed,Import Value,1975,1000 US$,
Uganda,"Meat, duck",Import Value,2010,1000 US$,0.0
France,Waxes vegetable,Import Quantity,1965,tonnes,505.0
Solomon Islands,"Juice, citrus, single strength",Import Value,1992,1000 US$,
Portugal,Onions,Export Value,1991,1000 US$,760.0
Australia,"Coffee, green",Export Quantity,1962,tonnes,104.0
"China, Hong Kong SAR","Hides, nes",Export Value,1981,1000 US$,1372.0
United Arab Emirates,Textile Fibres,Export Quantity,1972,tonnes,0.0
Kuwait,"Roots and tubers, nes",Import Value,1982,1000 US$,0.0
Costa Rica,Natural Rubber,Export Quantity,1983,tonnes,0.0
Chad,Milk Condensed + Evaporated,Import Value,1963,1000 US$,44.0
Iceland,Milk Fresh,Export Quantity,1975,tonnes,3.0
Vanuatu,"Milk, skimmed cow",Import Quantity,2010,tonnes,59.0
Malta,Bacon and ham,Import Quantity,1991,tonnes,2.0
Paraguay,"Groundnuts, shelled",Export Quantity,1985,tonnes,10998.0
Djibouti,Eggs in The Shell,Import Quantity,1986,tonnes,459.0
Spain,"Germ, maize",Import Value,1976,1000 US$,0.0
Angola,Bacon and ham,Export Quantity,2013,tonnes,0.0
Indonesia,"Cigars, cheroots",Import Quantity,1973,tonnes,20.0
Yemen,"Wool, greasy",Import Value,1981,1000 US$,
Spain,Garlic,Import Value,1990,1000 US$,3536.0
Jamaica,Fixed Vegetable Oils,Export Quantity,1970,tonnes,41.0
United Kingdom,"Fat, cattle",Export Quantity,2006,tonnes,0.0
Brunei Darussalam,Fixed Vegetable Oils,Import Quantity,1963,tonnes,617.0
Spain,"Oil, olive residues",Import Value,2011,1000 US$,20678.0
Cyprus,Grease incl. lanolin wool,Import Quantity,1982,tonnes,1.0
Madagascar,"Juice, orange, single strength",Import Value,1970,1000 US$,0.0
Hungary,Chestnut,Import Quantity,1994,tonnes,1413.0
Hungary,"Juice, pineapple, concentrated",Import Quantity,1985,tonnes,
Japan,Onions,Import Value,1979,1000 US$,23967.0
Turkey,"Eggs, liquid",Import Value,1995,1000 US$,410.0
Latvia,"Oil, cottonseed",Export Value,1995,1000 US$,30.0
Dominica,Cassava dried,Export Quantity,1969,tonnes,
Qatar,Infant food,Import Value,1968,1000 US$,46.0
Denmark,Infant food,Import Value,2009,1000 US$,29705.0
El Salvador,"Cake, cottonseed",Export Value,1979,1000 US$,285.0
Iran (Islamic Republic of),Wafers,Import Value,1993,1000 US$,0.0
Russian Federation,Maté,Import Value,2002,1000 US$,84.0
Nepal,"Oil, sesame",Export Quantity,1982,tonnes,
Egypt,"Juice, grapefruit",Import Value,2007,1000 US$,4.0
Egypt,"Meat, goat",Import Quantity,1969,tonnes,
United States of America,Cucumbers and gherkins,Export Value,1991,1000 US$,21416.0
Melanesia,"Hazelnuts, shelled",Export Quantity,1972,tonnes,
Malta,Oth Citrus Frt,Import Value,2006,1000 US$,154.0
Papua New Guinea,Raisins,Import Value,1970,1000 US$,34.0
France,Pastry,Import Quantity,1977,tonnes,54085.0
New Zealand,Beer of barley,Import Value,1981,1000 US$,4920.0
Indonesia,Offals Edibl Fresh,Export Value,1967,1000 US$,0.0
India,Oilseeds,Export Quantity,1971,tonnes,31176.0
Caribbean,Cauliflowers and broccoli,Import Value,2006,1000 US$,3177.0
Cambodia,"Coconuts, desiccated",Export Value,1988,1000 US$,
Bulgaria,"Juice, pineapple",Import Quantity,1997,tonnes,390.0
Uganda,Soybeans,Import Quantity,1991,tonnes,
Niger,Sugar confectionery,Export Value,2003,1000 US$,5.0
Bosnia and Herzegovina,"Nuts, nes",Export Quantity,2011,tonnes,0.0
Qatar,Bananas,Export Value,1986,1000 US$,0.0
Switzerland,"Cocoa, beans",Import Quantity,1976,tonnes,14756.0
Finland,"Juice, lemon, concentrated",Import Quantity,1992,tonnes,
Bolivia (Plurinational State of),"Waters,ice etc",Import Quantity,2002,tonnes,18.0
Portugal,"Cocoa, powder & cake",Export Value,1969,1000 US$,2.0
Zimbabwe,Meat Sheep Fresh,Import Quantity,1982,tonnes,0.0
Dominica,"Wheat+Flour,Wheat Equivalent",Export Quantity,1976,tonnes,
China,Tobacco,Import Value,1995,1000 US$,2191684.0
Saudi Arabia,Ice cream and edible ice,Import Value,1999,1000 US$,4400.0
Aruba,Barley,Import Value,2011,1000 US$,4.0
Brunei Darussalam,"Wheat+Flour,Wheat Equivalent",Export Value,2001,1000 US$,0.0
Bahamas,Cider etc,Import Quantity,1997,tonnes,244.0
Croatia,"Coffee, extracts",Export Quantity,2003,tonnes,330.0
Belize,Apples,Export Quantity,1977,tonnes,13.0
Spain,"Onions, shallots, green",Export Value,1968,1000 US$,0.0
Cook Islands,"Waters,ice etc",Import Quantity,1961,tonnes,0.0
Nigeria,Bovine Meat,Import Value,1997,1000 US$,2501.0
Portugal,Lentils,Export Quantity,2010,tonnes,4337.0
Congo,Meat Prepared Pres,Import Quantity,2011,tonnes,1695.0
Democratic People's Republic of Korea,Jute+Bast Fibres,Import Quantity,2005,tonnes,26.0
"China, Hong Kong SAR","Mushrooms, canned",Export Value,1979,1000 US$,0.0
Austria,Grapes,Import Quantity,2012,tonnes,49760.0
Solomon Islands,"Cocoa, powder & cake",Import Value,1968,1000 US$,
Barbados,Total Meat,Export Quantity,1994,tonnes,463.0
Japan,Fixed Vegetable Oils,Import Quantity,1997,tonnes,604045.0
Yemen,"Cocoa, beans",Export Value,2010,1000 US$,0.0
Philippines,"Maize, green",Import Value,2001,1000 US$,0.0
Saudi Arabia,"Meat, turkey",Import Value,1989,1000 US$,0.0
Mongolia,Meat Prepared Pres,Export Value,2000,1000 US$,
Sweden,"Peas, green",Export Quantity,1964,tonnes,0.0
Dominican Republic,"Walnuts, with shell",Export Value,1998,1000 US$,
Belarus,"Margarine, short",Import Value,2006,1000 US$,3710.0
Norway,"Offals, liver duck",Import Quantity,1979,tonnes,
Faroe Islands,Coffee Green+Roast,Import Quantity,2004,tonnes,330.0
Paraguay,Oilseeds,Export Value,2006,1000 US$,482686.0
Aruba,"Mushrooms, canned",Export Quantity,1980,tonnes,
Cayman Islands,Macaroni,Import Quantity,1965,tonnes,0.0
Albania,"Melons, other (inc.cantaloupes)",Export Quantity,1992,tonnes,
Namibia,Fixed Vegetable Oils,Export Value,2003,1000 US$,3739.0
Argentina,"Chillies and peppers, dry",Import Value,1974,1000 US$,95.0
Uzbekistan,Canned Meat nes,Import Value,2011,1000 US$,3438.0
Bahrain,"Meat, beef, preparations",Export Quantity,2010,tonnes,0.0
Saint Lucia,"Meat, dried nes",Import Quantity,1986,tonnes,10.0
New Zealand,"Oil, cottonseed",Import Value,1971,1000 US$,154.0
Japan,"Skins, goat, wet salted",Export Value,1993,1000 US$,0.0
Cuba,Fodder & Feeding stuff,Export Quantity,1981,tonnes,
Bahrain,"Onions, dry",Import Value,2004,1000 US$,5676.0
France,"Milk, whole evaporated",Export Value,1972,1000 US$,18223.0
Turkey,"Cake, linseed",Import Value,2001,1000 US$,0.0
Australia,"Wool, hair waste",Import Value,1991,1000 US$,78.0
Sri Lanka,Groundnuts Total Shelled,Import Quantity,2003,tonnes,2680.0
Sao Tome and Principe,"Meat, cattle",Import Quantity,1978,tonnes,0.0
Oman,"Sugar, nes",Import Value,1999,1000 US$,543.0
Costa Rica,Canary seed,Export Value,2006,1000 US$,0.0
Gambia,"Juice, fruit nes",Export Value,1967,1000 US$,
Jamaica,Soya sauce,Import Value,1973,1000 US$,0.0
Nigeria,"Whey, dry",Import Quantity,2000,tonnes,450.0
Hungary,"Offals, pigs, edible",Import Quantity,1997,tonnes,6336.0
Uruguay,"Flour, roots and tubers nes",Export Value,1963,1000 US$,
Yemen,"Meat, cattle, boneless (beef & veal)",Export Value,2002,1000 US$,
United Republic of Tanzania,"Cherries, sour",Import Quantity,1980,tonnes,
Paraguay,Poultry Meat,Export Value,2007,1000 US$,0.0
Canada,"Juice, citrus, single strength",Import Quantity,1994,tonnes,
Zimbabwe,"Meat, sheep",Import Quantity,2003,tonnes,0.0
Botswana,Spinach,Import Value,1964,1000 US$,0.0
Uzbekistan,"Skins, sheep, with wool",Export Value,1992,1000 US$,
Venezuela (Bolivarian Republic of),"Roots and tubers, nes",Import Value,1999,1000 US$,1965.0
Angola,Cereals,Export Quantity,1991,tonnes,0.0
Pakistan,Manila fibre (abaca),Export Quantity,1976,tonnes,
Zambia,"Oil, boiled etc",Import Value,1986,1000 US$,0.0
Romania,"Meat, pig",Export Quantity,1969,tonnes,17000.0
Yugoslav SFR,"Feed, vegetable products nes",Export Quantity,1983,tonnes,2616.0
Mauritania,Coffee+Tea+Cocoa+Sp,Import Value,1995,1000 US$,2960.0
Italy,Lemons and limes,Import Value,2000,1000 US$,42747.0
Argentina,Spinach,Export Value,1982,1000 US$,
Madagascar,Cigarettes,Export Quantity,1972,tonnes,216.0
Belize,"Meat, beef and veal sausages",Export Value,2001,1000 US$,
Uganda,Bacon and ham,Import Quantity,1973,tonnes,53.0
Papua New Guinea,Animal Vegetable Oil,Import Value,1966,1000 US$,117.0
Morocco,Asparagus,Export Quantity,1969,tonnes,1.0
Republic of Korea,"Nuts, nes",Export Value,1964,1000 US$,0.0
Ghana,Cucumbers and gherkins,Export Value,2008,1000 US$,0.0
Brazil,Cigarettes,Import Value,1980,1000 US$,0.0
Bulgaria,Oilseed Cake Meal,Export Value,1983,1000 US$,5500.0
United Kingdom,Animal Oil+Fat+Grs,Import Quantity,1978,tonnes,107253.0
New Zealand,Cucumbers and gherkins,Import Quantity,1972,tonnes,0.0
Thailand,"Meat, pig",Import Quantity,1974,tonnes,0.0
Nicaragua,Rice - total  (Rice milled equivalent),Export Quantity,2012,tonnes,6626.0
Jordan,Jute+Bast Fibres,Import Quantity,1976,tonnes,0.0
Bulgaria,"Coffee, husks and skins",Import Value,1994,1000 US$,
Tunisia,"Meat, beef, preparations",Import Value,1999,1000 US$,0.0
Qatar,Pineapples canned,Import Value,1961,1000 US$,
Burkina Faso,Rapeseed,Import Value,1987,1000 US$,
Saint Lucia,Coconuts,Export Quantity,1967,tonnes,0.0
Malawi,Milk Fresh,Import Value,2003,1000 US$,3139.0
Denmark,Rubber natural dry,Export Value,1990,1000 US$,18.0
Egypt,"Pumpkins, squash and gourds",Export Quantity,1970,tonnes,0.0
Ireland,Oilseeds nes,Import Value,1990,1000 US$,92.0
Cook Islands,Crude materials,Import Value,1980,1000 US$,81.0
Qatar,"Juice, orange, concentrated",Export Quantity,1984,tonnes,
Libya,"Cocoa, butter",Import Value,1974,1000 US$,19.0
Lebanon,Potatoes,Export Value,1982,1000 US$,20000.0
Serbia,"Juice, pineapple, concentrated",Export Value,2011,1000 US$,64.0
Russian Federation,Eggplants (aubergines),Export Value,1997,1000 US$,
Congo,Butter,Import Quantity,1979,tonnes,172.0
Namibia,"Flour, pulses",Export Quantity,1999,tonnes,0.0
Sudan (former),Lentils,Import Value,1969,1000 US$,0.0
Malta,"Nuts, prepared (exc. groundnuts)",Export Value,1988,1000 US$,0.0
Somalia,"Oil, olive, virgin",Import Quantity,1999,tonnes,80.0
Algeria,Glucose and dextrose,Import Quantity,2012,tonnes,17815.0
Indonesia,Beeswax,Export Value,1964,1000 US$,1.0
Czechia,"Honey, natural",Import Value,1996,1000 US$,711.0
Faroe Islands,"Wool, greasy",Export Value,2007,1000 US$,0.0
Qatar,"Hides, nes",Export Value,1978,1000 US$,0.0
Malawi,"Juice, pineapple, concentrated",Import Value,2004,1000 US$,
Samoa,"Cereals, breakfast",Export Value,1965,1000 US$,
Malaysia,"Oil, sunflower",Import Quantity,2011,tonnes,28500.0
Japan,Bananas,Export Quantity,2004,tonnes,9.0
Thailand,"Honey, natural",Import Value,2008,1000 US$,1026.0
Ireland,Lactose,Export Value,2011,1000 US$,10525.0
Thailand,"Meat, chicken, canned",Export Value,1983,1000 US$,0.0
Trinidad and Tobago,"Cotton, carded, combed",Export Quantity,2011,tonnes,0.0
Brunei Darussalam,Coffee+Tea+Cocoa+Sp,Import Value,1999,1000 US$,6932.0
Guyana,Tallow,Import Quantity,1973,tonnes,1023.0
Kuwait,Watermelons,Import Quantity,1999,tonnes,43736.0
Uruguay,Sweet corn prep or preserved,Import Value,1961,1000 US$,
Lebanon,Raisins,Export Quantity,2002,tonnes,18.0
Philippines,Cane tops,Export Value,1985,1000 US$,0.0
Kuwait,Meat Poultry Fresh,Import Value,1990,1000 US$,19773.0
Vanuatu,"Meat, pig sausages",Import Value,1982,1000 US$,
Gabon,Animal Oil+Fat+Grs,Import Value,2000,1000 US$,13.0
Japan,Sunflower seed,Import Value,2007,1000 US$,2964.0
Lebanon,Molasses,Import Value,2002,1000 US$,301.0
Mauritius,"Cheese, processed",Import Quantity,1971,tonnes,
Suriname,Meat Fresh+Ch+Frozen,Import Value,2001,1000 US$,10661.0
Germany,Eggplants (aubergines),Export Quantity,1991,tonnes,48.0
Thailand,Wine+Vermouth+Sim.,Export Quantity,2013,tonnes,8309.0
Morocco,"Oil, vegetable origin nes",Import Quantity,1978,tonnes,150.0
Egypt,Oats,Export Quantity,1970,tonnes,
Turkey,Beer of barley,Export Value,1965,1000 US$,0.0
Malta,"Oils, fats of animal nes",Export Value,2004,1000 US$,0.0
Slovakia,"Juice, fruit nes",Export Quantity,2009,tonnes,386.0
Angola,Pulses,Import Quantity,1991,tonnes,30982.0
Papua New Guinea,Pastry,Import Quantity,1966,tonnes,2376.0
Syrian Arab Republic,Coffee+Tea+Cocoa+Sp,Export Value,1978,1000 US$,1426.0
Chile,Rice,Import Quantity,1974,tonnes,72051.0
United States of America,Garlic,Import Quantity,1976,tonnes,7662.0
Romania,"Juice, citrus, concentrated",Export Quantity,1970,tonnes,
Grenada,Rice - total  (Rice milled equivalent),Import Value,2004,1000 US$,772.0
Senegal,Lentils,Import Value,1995,1000 US$,80.0
Singapore,"Milk, whole dried",Export Value,1994,1000 US$,20504.0
Canada,Watermelons,Import Quantity,1980,tonnes,0.0
Togo,Natural Rubber,Import Value,2012,1000 US$,291.0
Mali,Butter of karite nuts,Import Quantity,2004,tonnes,0.0
Jamaica,"Juice, pineapple, concentrated",Import Quantity,1974,tonnes,
Israel,Cauliflowers and broccoli,Export Value,1993,1000 US$,82.0
Honduras,Olives,Export Value,1961,1000 US$,
Philippines,"Cereal preparations, nes",Import Value,2006,1000 US$,654.0
Zimbabwe,Mustard seed,Export Quantity,1987,tonnes,
Madagascar,"Spices, nes",Export Value,2003,1000 US$,53.0
Indonesia,"Starch, cassava",Export Quantity,1980,tonnes,0.0
Kenya,Rape+Mustard Seed,Export Value,2007,1000 US$,0.0
Netherlands,"Oil, palm",Import Quantity,1969,tonnes,77445.0
Senegal,Cassava,Import Value,1996,1000 US$,0.0
Kyrgyzstan,Pineapples,Export Value,1994,1000 US$,
Belize,Sweet corn frozen,Export Quantity,1975,tonnes,
Morocco,"Juice, tomato",Import Quantity,2013,tonnes,0.0
Netherlands,Crude materials,Export Value,2013,1000 US$,11080444.0
Russian Federation,Waxes vegetable,Export Quantity,2008,tonnes,0.0
Djibouti,"Meat, pig",Import Quantity,1964,tonnes,0.0
Ghana,"Melons, other (inc.cantaloupes)",Import Quantity,1976,tonnes,
Mauritius,"Milk, skimmed cow",Export Value,1989,1000 US$,0.0
Uganda,"Honey, natural",Export Quantity,1984,tonnes,0.0
Venezuela (Bolivarian Republic of),"Mangoes, mangosteens, guavas",Export Quantity,1967,tonnes,0.0
Ethiopia PDR,Tomatoes,Import Quantity,1970,tonnes,0.0
Canada,"Starch, cassava",Export Quantity,1990,tonnes,0.0
Bulgaria,"Tea, mate extracts",Import Value,2009,1000 US$,3401.0
Philippines,"Eggs, dried",Import Quantity,1979,tonnes,7.0
Fiji,Eggs in The Shell,Import Quantity,1983,tonnes,111.0
Tuvalu,Eggs in The Shell,Import Value,1969,1000 US$,0.0
Peru,"Groundnuts, shelled",Export Value,1976,1000 US$,
Malta,"Meat, cattle, boneless (beef & veal)",Export Quantity,1992,tonnes,62.0
Barbados,"Cheese, processed",Import Quantity,1964,tonnes,
Dominican Republic,Other Meat,Import Value,1976,1000 US$,62.0
Liberia,Lard,Import Quantity,1967,tonnes,60.0
Namibia,"Margarine, liquid",Import Quantity,1991,tonnes,
Republic of Korea,"Coffee, substitutes containing coffee",Export Quantity,2000,tonnes,6.0
Aruba,Grapes,Import Quantity,2005,tonnes,
Melanesia,"Barley, pearled",Import Value,2010,1000 US$,0.0
Netherlands,Cotton lint,Export Value,1961,1000 US$,260.0
Mauritania,Crude Materials nes,Import Value,1962,1000 US$,0.0
Zambia,"Cake, palm kernel",Import Value,1999,1000 US$,
Antigua and Barbuda,"Meat, beef, preparations",Export Value,1986,1000 US$,
Saint Lucia,"Cashew nuts, shelled",Import Quantity,1965,tonnes,
United States of America,Cotton linter,Import Quantity,2000,tonnes,27524.0
Venezuela (Bolivarian Republic of),"Milk, whole dried",Export Quantity,1961,tonnes,0.0
New Zealand,"Oil, olive residues",Export Quantity,2007,tonnes,11.0
